                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0328,                0.81295,                 1.1111,                 0.8099,                0.68113,                 0.7797,                0.54674,                0.99881,                0.73963,                 1.0543,             7.6502e-05,             7.6502e-05,             7.6502e-05
                     49,                 1.0323,                0.81223,                 1.1099,                 0.8109,                0.68099,                0.77976,                0.54675,                0.99923,                0.73949,                 1.0548,             7.6002e-05,             7.6002e-05,             7.6002e-05
                     50,                 1.0317,                0.80995,                  1.111,                0.81203,                0.67913,                0.77967,                0.54687,                 0.9992,                0.73928,                 1.0548,             7.5502e-05,             7.5502e-05,             7.5502e-05
                     51,                 1.0336,                0.81214,                 1.1098,                0.81472,                0.67894,                0.77984,                0.54682,                0.99924,                0.73893,                 1.0545,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     52,                 1.0323,                0.80771,                 1.1093,                0.81564,                0.67978,                0.78032,                0.54749,                0.99884,                0.73831,                 1.0543,             7.4503e-05,             7.4503e-05,             7.4503e-05
                     53,                 1.0271,                0.80686,                 1.1098,                0.81427,                0.68061,                0.78006,                0.54759,                0.99868,                0.73787,                 1.0541,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     54,                 1.0271,                0.80553,                 1.1072,                0.81118,                0.68365,                0.78023,                0.54747,                0.99859,                 0.7378,                 1.0541,             7.3503e-05,             7.3503e-05,             7.3503e-05
                     55,                 1.0295,                0.80635,                 1.1085,                0.81061,                0.68591,                0.78036,                0.54739,                 0.9988,                0.73775,                 1.0543,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     56,                 1.0284,                0.80432,                 1.1081,                0.81156,                0.68535,                0.78018,                0.54716,                0.99836,                0.73751,                 1.0541,             7.2503e-05,             7.2503e-05,             7.2503e-05
                     57,                 1.0264,                0.80517,                 1.1068,                0.81386,                0.68294,                0.78019,                0.54711,                0.99854,                0.73703,                 1.0541,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     58,                 1.0262,                 0.8033,                 1.1079,                0.81561,                0.68127,                0.78069,                0.54751,                0.99948,                0.73643,                  1.055,             7.1503e-05,             7.1503e-05,             7.1503e-05
